E0000046|A-1|A1|
E0028452|foot drop|footdrop|
E0028463|foot-rot|foot rot|
E0028464|foot and mouth disease|foot-and-mouth disease|
E0028484|forced expiratory volume during 1 s|forced expiratory volume at one second|
E0028497|fore arm|forearm|
E0028501|forbear|forebear|
E0028502|forbode|forebode|
E0028507|fo'c's'le|forecastle|
E0028507|fo'c'sle|forecastle|
E0028516|forgo|forego|
E0028544|fore skin|foreskin|
E0028551|for ever|forever|
E0028577|formaldehyd|formaldehyde|
E0028581|formalin-fixed|formalinfixed|
E0028586|formalise|formalize|
E0028622|foreswear|forswear|
E0028648|forward|forwards|
E0028649|phosphomycin|fosfomycin|
E0028656|fossilisation|fossilization|
E0028657|fossilise|fossilize|
E0028685|fowl pest|fowlpest|
E0028715|fragillity|fragility|
E0028752|fraternisation|fraternization|
E0028753|fraternise|fraternize|
E0028781|freeze dry|freeze-dry|
E0028791|freestanding|free-standing|
E0028795|fraenal|frenal|
E0028799|fraenum|frenum|
E0028848|frigostabile|frigostable|
E0028857|frivoller|frivoler|
E0028887|fronto-cortical aphasia|frontocortical aphasia|
E0028902|frostbite|frost-bite|
E0028903|frostbitten|frost-bitten|
E0028927|furosemide|frusemide|
E0028949|fulfill|fulfil|
E0028950|fulfilment|fulfillment|
E0028961|fully-grown|full-grown|
E0029016|funduscopy|fundoscopy|
E0029020|fundoscopic|funduscopic|
E0029067|frucula|furculum|
E0029143|gaberdine|gabardine|
E0029157|gayly|gaily|
E0029183|galactorrhoea|galactorrhea|
E0029186|galactosaemia|galactosemia|
E0029194|Galenic|galenic|
E0029201|gall bladder|gallbladder|
E0029205|galavant|gallivant|
E0029205|galivant|gallivant|
E0029210|gall stone|gallstone|
E0029210|gall-stone|gallstone|
E0029215|galvanisation|galvanization|
E0029216|galvanise|galvanize|
E0029238|gametocinetic|gametokinetic|
E0029243|gamma-globulin|gamma globulin|
E0029243|gammaglobulin|gamma globulin|
E0029244|gamma-radiation|gamma radiation|
E0029247|gamma amino-butyric acid|gamma-aminobutyric acid|
E0029247|gamma aminobutyric acid|gamma-aminobutyric acid|
E0029247|gamma-amino butyric acid|gamma-aminobutyric acid|
E0029262|ganlioform|gangliform|
E0029271|ganglio-neuroma|ganglioneuroma|
E0029274|gangliitis|ganglionitis|
E0029275|ganglionoplegic|ganglioplegic|
E0029276|ganglionoplegic|ganglioplegic|
E0029300|garrapata disease|garapata disease|
E0029321|garote|garrotte|
E0029321|garotte|garrotte|
E0029321|garrote|garrotte|
E0029322|garote|garrotte|
E0029322|garotte|garrotte|
E0029322|garrote|garrotte|
E0029340|gasolene|gasoline|
E0029382|gastro-colic|gastrocolic|
E0029387|gastro-duodenal|gastroduodenal|
E0029388|gastro-duodenitis|gastroduodenitis|
E0029390|gastro-enteric|gastroenteric|
E0029391|gastro-enteritis|gastroenteritis|
E0029395|gastro-enterology|gastroenterology|
E0029397|gastro-enterostomy|gastroenterostomy|
E0029398|gastro-epiploic|gastroepiploic|
E0029400|gastro-esophageal|gastroesophageal|
E0029400|gastro-oesophageal|gastroesophageal|
E0029400|gastrooesophageal|gastroesophageal|
E0029402|gastro esophageal reflux|gastroesophageal reflux|
E0029402|gastro oesophageal reflux|gastroesophageal reflux|
E0029402|gastro-esophageal reflux|gastroesophageal reflux|
E0029402|gastro-oesophageal reflux|gastroesophageal reflux|
E0029402|gastrooesophageal reflux|gastroesophageal reflux|
E0029411|gastro-intestinal|gastrointestinal|
E0029412|gastro-intestinal bleeding|gastrointestinal bleeding|
E0029414|gastro-intestinal tract|gastrointestinal tract|
E0029429|gasteropod|gastropod|
E0029430|gasteropod|gastropod|
E0029447|gas chromatographic|gas-chromatographic|
E0029458|gage|gauge|
E0029459|gage|gauge|
E0029481|gell|gel|
E0029481|jell|gel|
E0029482|gell|gel|
E0029482|jell|gel|
E0029486|gelatine|gelatin|
E0029489|gelatinisation|gelatinization|
E0029490|gelatinise|gelatinize|
E0029500|gelelectrophoresis|gel electrophoresis|
E0029501|gel-filtration|gel filtration|
E0029501|gelfiltration|gel filtration|
E0029516|genealogic|genealogical|
E0029523|generalisability|generalizability|
E0029524|generalisable|generalizable|
E0029525|generalisation|generalization|
E0029526|generalise|generalize|
E0029534|general anaesthesia|general anesthesia|
E0029559|genetical|genetic|
E0029596|genito-urinary|genitourinary|
E0029610|genotypical|genotypic|
E0029611|gentamycin|gentamicin|
E0029631|genuflexion|genuflection|
E0029640|geographical|geographic|
E0029646|geometrical|geometric|
E0029647|geometric mean titre|geometric mean titer|
E0029666|germinal localisation|germinal localization|
E0029674|germ-plasm|germ plasm|
E0029674|germplasm|germ plasm|
E0029681|Gestalt|gestalt|
E0029682|Gestalt theory|gestalt theory|
E0029732|jibe|gibe|
E0029733|jibe|gibe|
E0029767|gingivo-labial|gingivolabial|
E0029770|gingivo-stomatitis|gingivostomatitis|
E0029803|glamorisation|glamorization|
E0029804|glamorise|glamorize|
E0029909|glomerulo nephritis|glomerulonephritis|
E0029909|glomerulo-nephritis|glomerulonephritis|
E0029911|glomerulo sclerosis|glomerulosclerosis|
E0029911|glomerulo-sclerosis|glomerulosclerosis|
E0029932|glottitis|glossitis|
E0029936|glossocinesthetic|glossokinesthetic|
E0029972|glucuronosyl transferase|glucuronosyltransferase|
E0030006|glycaemia|glycemia|
E0030007|glycaemic|glycemic|
E0030016|glyceryl-trinitrate|glyceryl trinitrate|
E0030016|glyceryltrinitrate|glyceryl trinitrate|
E0030019|glycocalix|glycocalyx|
E0030021|glycogenic|glycogenetic|
E0030021|glycogenous|glycogenetic|
E0030030|glucolytic|glycolytic|
E0030046|glycosamino-glycan|glycosaminoglycan|
E0030054|glycosylated haemoglobin|glycosylated hemoglobin|
E0030096|goitre|goiter|
E0030120|gonadotropic|gonadotrophic|
E0030121|gonadotrophin|gonadotropin|
E0030122|gonadotrophin releasing hormone|gonadotropin-releasing hormone|
E0030122|gonadotrophin-releasing hormone|gonadotropin-releasing hormone|
E0030122|gonadotropin releasing hormone|gonadotropin-releasing hormone|
E0030129|gonitis|goneitis|
E0030145|gonorrhoeal|gonorrheal|
E0030147|gonorrhoeal conjunctivitis|gonorrheal conjunctivitis|
E0030150|gonorrhea|gonorrhoea|
E0030157|good-by|good-bye|
E0030157|goodbye|good-bye|
E0030161|good-neighborliness|good-neighbourliness|
E0030173|gormandise|gormandize|
E0030224|graft versus host disease|graft-versus-host disease|
E0030225|graft versus host reaction|graft-versus-host reaction|
E0030228|gramme|gram|
E0030235|gram negative|gram-negative|
E0030235|gramnegative|gram-negative|
E0030237|gram positive|gram-positive|
E0030237|grampositive|gram-positive|
E0030238|gram positive|gram-positive|
E0030341|grave-wax|grave wax|
E0030394|gray|grey|
E0030395|gray|grey|
E0030396|gray|grey|
E0030398|grayness|greyness|
E0030422|grip|grippe|
E0030462|ground water|groundwater|
E0030464|ground itch anaemia|ground itch anemia|
E0030466|ground glass|ground-glass|
E0030467|ground glass|ground-glass|
E0030474|group transfer|group-transfer|
E0030479|groveller|groveler|
E0030490|growth hormone releasing factor|growth hormone-releasing factor|
E0030498|gruelling|grueling|
E0030505|grumous|grumose|
E0030522|guanosinetriphosphate|guanosine triphosphate|
E0030556|guinea-pig|guinea pig|
E0030556|guineapig|guinea pig|
E0030558|guinea fowl|guinea-fowl|
E0030585|gun cotton|gun-cotton|
E0030585|guncotton|gun-cotton|
E0030600|gutta percha|gutta-percha|
E0030600|guttapercha|gutta-percha|
E0030609|jibe|gybe|
E0030617|gynaecium|gynaeceum|
E0030617|gynecium|gynaeceum|
E0030617|gynoecium|gynaeceum|
E0030622|gynaecological|gynecological|
E0030623|gynaecologist|gynecologist|
E0030624|gynaecology|gynecology|
E0030625|gynaecomastia|gynecomastia|
E0030625|gynecomastism|gynecomastia|
E0030668|hemagglutinating|haemagglutinating|
E0030669|hemagglutination|haemagglutination|
E0030670|hemagglutinin|haemagglutinin|
E0030671|hemangioendothelioma|haemangioendothelioma|
E0030672|hematolysis|haematolysis|
E0030673|hematoxylin|haematoxylin|
E0030674|hemocirculatory|haemocirculatory|
E0030675|hemofiltrate|haemofiltrate|
E0030676|hemolymph|haemolymph|
E0030678|hemoperfusion|haemoperfusion|
E0030679|hemophilus meningitis|haemophilus meningitis|
E0030680|hemoptysis|haemoptysis|
E0030681|hemorrhage|haemorrhage|
E0030682|hemorrhage|haemorrhage|
E0030684|hemostasis|haemostasis|
E0030717|half life|half-life|
E0030717|halflife|half-life|
E0030728|hallux|hallex|
E0030794|hand foot and mouth disease|hand-foot-and-mouth disease|
E0030794|hand, foot, and mouth disease|hand-foot-and-mouth disease|
E0030795|handwritten|hand-written|
E0030803|haplo-identity|haploidentity|
E0030807|haploidentical|haplo-identical|
E0030813|haptene|hapten|
E0030815|haptophile|haptophil|
E0030821|hari-kiri|hara-kiri|
E0030822|harbour|harbor|
E0030823|harbour|harbor|
E0030851|harmonise|harmonize|
E0030870|hasheesh|hashish|
E0030897|haut mal|haut-mal|
E0030980|heart failure|heart-failure|
E0030987|heatshock protein|heat shock protein|
E0031007|hebephrenic|hebephreniac|
E0031008|hebephrenic|hebephreniac|
E0031014|hectogramme|hectogram|
E0031035|hight|height|
E0031037|heanous|heinous|
E0031045|helicoidal|helicoid|
E0031075|haemacytozoon|hemacytozoon|
E0031075|haemocytozoon|hemacytozoon|
E0031075|hemocytozoon|hemacytozoon|
E0031077|haemadsorbent|hemadsorbent|
E0031079|haemagglutinate|hemagglutinate|
E0031080|haemagglutination inhibition|hemagglutination inhibition|
E0031082|haemal|hemal|
E0031083|haemal canal|hemal canal|
E0031084|haemangioblastoma|hemangioblastoma|
E0031086|haemangiofibroma|hemangiofibroma|
E0031087|haemangioma|hemangioma|
E0031088|haemangiosarcoma|hemangiosarcoma|
E0031090|haemarthrosis|hemarthrosis|
E0031095|haemathorax|hemathorax|
E0031095|haemothorax|hemathorax|
E0031095|hematothorax|hemathorax|
E0031095|hemothorax|hemathorax|
E0031096|haematic|hematic|
E0031097|haematic|hematic|
E0031098|haematinic|hematinic|
E0031099|haematinic|hematinic|
E0031101|haematobium|hematobium|
E0031102|haematochezia|hematochezia|
E0031104|haematocrit|hematocrit|
E0031105|haematocryal|hematocryal|
E0031107|haemato encephalic barrier|hematoencephalic barrier|
E0031107|haemato-encephalic barrier|hematoencephalic barrier|
E0031107|haematoencephalic barrier|hematoencephalic barrier|
E0031107|hemato encephalic barrier|hematoencephalic barrier|
E0031107|hemato-encephalic barrier|hematoencephalic barrier|
E0031108|haematogenic|hematogenic|
E0031110|haematogenous|hematogenous|
E0031114|haematoid|hematoid|
E0031115|haematoid carcinoma|hematoid carcinoma|
E0031116|haematologic|hematologic|
E0031118|haematology|hematology|
E0031119|haematoma|hematoma|
E0031123|haematophorphyrin|hematophorphyrin|
E0031124|haematophytic|hematophytic|
E0031125|haematoplastic|hematoplastic|
E0031127|haematopoietic|hematopoietic|
E0031129|haematoporphyrin|hematoporphyrin|
E0031132|haematotoxic|hematotoxic|
E0031135|haematozoon|hematozoon|
E0031136|haematuria|hematuria|
E0031137|haem|heme|
E0031146|heamic|hemic|
E0031148|haemic calculus|hemic calculus|
E0031173|hemispherium|hemisphaerium|
E0031179|hemi-thorax|hemithorax|
E0031183|haemo|hemo|
E0031189|haemochromatosis|hemochromatosis|
E0031193|haemoclip|hemoclip|
E0031195|haemocytophagic|hemocytophagic|
E0031196|haemodiafiltration|hemodiafiltration|
E0031198|haemodialysis|hemodialysis|
E0031199|haemodilution|hemodilution|
E0031200|haemodynamic|hemodynamic|
E0031201|haemodynamics|hemodynamics|
E0031205|haemofiltration|hemofiltration|
E0031208|haemoglobin|hemoglobin|
E0031209|haemoglobinated|hemoglobinated|
E0031210|haemoglobinaemia|hemoglobinemia|
E0031210|haemoglobinemia|hemoglobinemia|
E0031210|hemoglobinaemia|hemoglobinemia|
E0031212|haemoglobinolysis|hemoglobinolysis|
E0031220|hemolisation|hemolization|
E0031221|haemolymphopoietic|hemolymphopoietic|
E0031222|haemolysis|hemolysis|
E0031224|haemolytic|hemolytic|
E0031224|hematolytic|hemolytic|
E0031225|haemolytic anaemia|hemolytic anemia|
E0031225|haemolytic anemia|hemolytic anemia|
E0031225|hemolytic anaemia|hemolytic anemia|
E0031227|haemolysable|hemolyzable|
E0031228|haemolysation|hemolyzation|
E0031228|haemolyzation|hemolyzation|
E0031228|hemolysation|hemolyzation|
E0031229|haemolyse|hemolyze|
E0031229|haemolyze|hemolyze|
E0031229|hemolyse|hemolyze|
E0031230|haemolysed|hemolyzed|
E0031230|haemolyzed|hemolyzed|
E0031230|hemolysed|hemolyzed|
E0031232|haemopathic|hemopathic|
E0031236|haemophilia|hemophilia|
E0031237|haemophiliac|hemophiliac|
E0031238|haemophilia A|hemophilia A|
E0031240|haemophilic|hemophilic|
E0031245|haemopneumothorax|hemopneumothorax|
E0031246|haemapoietic|hemopoietic|
E0031246|haemopoietic|hemopoietic|
E0031246|hemapoietic|hemopoietic|
E0031250|haemorenal salt index|hemorenal salt index|
E0031252|haemorrhagic|hemorrhagic|
E0031256|haemorrhagic disease|hemorrhagic disease|
E0031266|haemorrhagic nephroso nephritis|hemorrhagic nephrosonephritis|
E0031266|haemorrhagic nephrosonephritis|hemorrhagic nephrosonephritis|
E0031266|hemorrhagic nephroso nephritis|hemorrhagic nephrosonephritis|
E0031270|haemorrhagic pyelitis|hemorrhagic pyelitis|
E0031273|hemorrhagic thrombocythaemia|hemorrhagic thrombocythemia|
E0031276|haemorrhoidal|hemorrhoidal|
E0031279|haemosiderosis|hemosiderosis|
E0031280|haemostatic|hemostatic|
E0031281|haemostatic|hemostatic|
E0031282|haemostyptic|hemostyptic|
E0031292|heparinisation|heparinization|
E0031293|heparinise|heparinize|
E0031295|hepatectomisation|hepatectomization|
E0031296|hepatectomise|hepatectomize|
E0031322|hepato-biliary|hepatobiliary|
E0031326|hepato-cellular|hepatocellular|
E0031349|hepatomegalia|hepatomegaly|
E0031361|hepato-renal|hepatorenal|
E0031365|hepato-splenomegaly|hepatosplenomegaly|
E0031366|hepato-toxic|hepatotoxic|
E0031367|hepato-toxicity|hepatotoxicity|
E0031395|hereditary haemorrhagic telangiectasia|hereditary hemorrhagic telangiectasia|
E0031400|hereditary nonspherocytic hemolytic anaemia|hereditary nonspherocytic hemolytic anemia|
E0031422|hermaphrodism|hermaphroditism|
E0031442|herpesvirus hominis|herpesvirus hominous|
E0031443|herpesencephalitis|herpes encephalitis|
E0031451|herpesvirus|herpes virus|
E0031463|hesitance|hesitancy|
E0031555|heterozygozity|heterozygosity|
E0031580|hexuronyl hexosaminoglycan sulphate|hexuronyl hexosaminoglycan sulfate|
E0031590|hiccough|hiccup|
E0031591|hiccough|hiccup|
E0031601|hidroadenoma|hidradenoma|
E0031601|hydradenoma|hidradenoma|
E0031624|high-fat|high fat|
E0031627|high-performance liquid chromatography|high performance liquid chromatography|
E0031634|high altitude pulmonary edema|high-altitude pulmonary edema|
E0031636|high density lipo-protein|high-density lipoprotein|
E0031636|high density lipoprotein|high-density lipoprotein|
E0031636|high-density lipo-protein|high-density lipoprotein|
E0031651|highpitched|high-pitched|
E0031665|high-jack|hijack|
E0031665|highjack|hijack|
E0031861|homoeopath|homeopath|
E0031862|homoeopathic|homeopathic|
E0031863|homoeopathy|homeopathy|
E0031865|homoeostatic|homeostatic|
E0031908|homogeneisation|homogenization|
E0031908|homogeneization|homogenization|
E0031908|homogenisation|homogenization|
E0031909|homogenise|homogenize|
E0031967|honour|honor|
E0031968|honour|honor|
E0031969|honourable|honorable|
E0031979|hook worm|hookworm|
E0031979|hook-worm|hookworm|
E0032037|horse-shoe|horseshoe|
E0032041|horseplay|horse-play|
E0032042|horseracing|horse-racing|
E0032043|horseradish|horse-radish|
E0032054|hospitalisation|hospitalization|
E0032055|hospitalise|hospitalize|
E0032076|hot line|hotline|
E0032076|hot-line|hotline|
E0032077|hot spot|hotspot|
E0032089|house fly|housefly|
E0032139|humanise|humanize|
E0032145|human T-cell leukemia virus I antibody|human T cell leukemia virus I antibody|
E0032146|human T-cell leukemia virus I antigen|human T cell leukemia virus I antigen|
E0032147|human T-cell leukemia virus antibody|human T cell leukemia virus antibody|
E0032148|human T-cell leukemia virus antigen|human T cell leukemia virus antigen|
E0032149|human T-cell lymphotropic virus type III|human T cell lymphotropic virus type III|
E0032152|human T-lymphotropic virus associated leukemia lymphoma|human T lymphotropic virus associated leukemia lymphoma|
E0032153|human T-lymphotropic virus type IV|human T lymphotropic virus type IV|
E0032180|human leucocyte antigen|human leukocyte antigen|
E0032185|human papilloma virus|human papillomavirus|
E0032201|human T cell leucaemia virus III antibody|human T cell leukemia virus III antibody|
E0032201|human T cell leucemia virus III antibody|human T cell leukemia virus III antibody|
E0032201|human T cell leukaemia virus III antibody|human T cell leukemia virus III antibody|
E0032201|human t cell leukemia virus iii antibody|human T cell leukemia virus III antibody|
E0032202|human t cell leukemia virus iii antigen|human T cell leukemia virus III antigen|
E0032204|human t cell leukemia virus i myelopathy|human T cell leukemia virus I myelopathy|
E0032206|human t lymphotropic virus ii|human T lymphotropic virus II|
E0032207|human T-cell leucaemia|human T-cell leukemia|
E0032207|human T-cell leucemia|human T-cell leukemia|
E0032207|human T-cell leukaemia|human T-cell leukemia|
E0032207|human t-cell leukemia|human T-cell leukemia|
E0032209|human T-cell leukemia virus III infection|human t-cell leukemia virus iii infection|
E0032212|human T-cell leukemia virus III serology|human t-cell leukemia virus iii serology|
E0032216|human t-cell lymphotrophic virus|human T-cell lymphotrophic virus|
E0032217|human t-cell lymphotrophic virus 1|human T-cell lymphotrophic virus 1|
E0032240|humour|humor|
E0032241|humour|humor|
E0032242|humoural|humoral|
E0032246|humourous|humorous|
E0032255|hunger oedema|hunger edema|
E0032290|hyaline|hyalin|
E0032312|hybridization|hybridisation|
E0032315|hybridise|hybridize|
E0032334|hidradenitis|hydradenitis|
E0032337|hydrallazin|hydralazine|
E0032357|hydraemic oedema|hydremic edema|
E0032358|hydraemic nephritis|hydremic nephritis|
E0032367|hydrocoele|hydrocele|
E0032379|hydrocodon|hydrocodone|
E0032408|hydrogen sulphide|hydrogen sulfide|
E0032419|hydrolise|hydrolyze|
E0032419|hydrolize|hydrolyze|
E0032419|hydrolyse|hydrolyze|
E0032440|hydrophillic|hydrophilic|
E0032441|hydrophillic|hydrophilic|
E0032457|hydrops foetalis|hydrops fetalis|
E0032517|hydroxy-indoleacetic acid|hydroxyindoleacetic acid|
E0032517|hydroxyindole acetic acid|hydroxyindoleacetic acid|
E0032566|hydroxyacid|hydroxy acid|
E0032628|hyperamylasaemia|hyperamylasemia|
E0032635|hyperbilirubinaemia|hyperbilirubinemia|
E0032640|hypercalcaemia|hypercalcemia|
E0032641|hypercalcaemic|hypercalcemic|
E0032643|hypercapnaemia|hypercapnemia|
E0032653|hyperchloraemic|hyperchloremic|
E0032655|hypercholesterolaemia|hypercholesterolemia|
E0032656|hypercholesterolaemic|hypercholesterolemic|
E0032675|hyperaemic|hyperemic|
E0032678|hyperaesthesia|hyperesthesia|
E0032691|hyperglycaemic|hyperglycemic|
E0032694|hyperidrosis|hyperhidrosis|
E0032698|hyperimmunisation|hyperimmunization|
E0032699|hyperimmunise|hyperimmunize|
E0032703|hyperinsulaemia|hyperinsulinemia|
E0032703|hyperinsulemia|hyperinsulinemia|
E0032703|hyperinsulinaemia|hyperinsulinemia|
E0032706|hyperkalaemia|hyperkalemia|
E0032719|hyperlipaemia|hyperlipemia|
E0032720|hyperlipidaemia|hyperlipidemia|
E0032721|hyperlipidaemic|hyperlipidemic|
E0032722|hyperlipoproteinaemia|hyperlipoproteinemia|
E0032729|hyperluteinisation|hyperluteinization|
E0032730|hyperluteinise|hyperluteinize|
E0032732|hypermenorrhoea|hypermenorrhea|
E0032740|hypermyoglobinaemia|hypermyoglobinemia|
E0032782|hyperpolarisation|hyperpolarization|
E0032783|hyperpolarise|hyperpolarize|
E0032790|hyperprolactinaemic|hyperprolactinemic|
E0032798|hyperreninaemic|hyperreninemic|
E0032842|hypertriglyceridaemia|hypertriglyceridemia|
E0032862|hyperuricaemia|hyperuricemia|
E0032873|hypervolaemia|hypervolemia|
E0032875|hypaesthesia|hypesthesia|
E0032875|hypoaesthesia|hypesthesia|
E0032878|hyphaema|hyphema|
E0032900|hypnotise|hypnotize|
E0032908|hypoalbuminaemia|hypoalbuminemia|
E0032922|hypochloraemic|hypochloremic|
E0032926|hypocholesterolaemic|hypocholesterolemic|
E0032939|hypocomplementaemic|hypocomplementemic|
E0032967|hypogammaglobulinaemia|hypogammaglobulinemia|
E0032981|hypoglycaemia|hypoglycemia|
E0032982|hypoglycaemic|hypoglycemic|
E0032983|hypoglycaemic|hypoglycemic|
E0032991|hypoidrosis|hypohidrosis|
E0032995|hypokalemic|hypokalaemic|
E0033004|hypolipidaemic|hypolipidemic|
E0033014|hypomineralisation|hypomineralization|
E0033031|hypophosphataemia|hypophosphatemia|
E0033032|hypophosphataemic|hypophosphatemic|
E0033034|hypophysial|hypophyseal|
E0033036|hypophysectomise|hypophysectomize|
E0033039|hypophysioprivic|hypophyseoprivic|
E0033040|hypophysiotropic|hypophyseotropic|
E0033040|hypophysotropic|hypophyseotropic|
E0033056|hypoprolactinaemia|hypoprolactinemia|
E0033066|hyporeninaemic|hyporeninemic|
E0033104|hypothalamo-neurohypophysial|hypothalamo-neurohypophyseal|
E0033104|hypothalamoneurohypophyseal|hypothalamo-neurohypophyseal|
E0033104|hypothalamoneurohypophysial|hypothalamo-neurohypophyseal|
E0033113|hypothesise|hypothesize|
E0033114|hypothetic|hypothetical|
E0033130|hypovolaemia|hypovolemia|
E0033131|hypovelaemic|hypovolemic|
E0033131|hypovolaemic|hypovolemic|
E0033132|hypovolaemic shock|hypovolemic shock|
E0033142|hypoxaemia|hypoxemia|
E0033160|hysterectomised|hysterectomized|
E0033215|ice-cream|ice cream|
E0033261|idealisation|idealization|
E0033262|idealise|idealize|
E0033302|idiopathic hypochromic anaemia|idiopathic hypochromic anemia|
E0033306|idiopathetic multiple pigmented haemorrhagic sarcoma|idiopathic multiple pigmented hemorrhagic sarcoma|
E0033306|idiopathetic multiple pigmented hemorrhagic sarcoma|idiopathic multiple pigmented hemorrhagic sarcoma|
E0033306|idiopathic multiple pigmented haemorrhagic sarcoma|idiopathic multiple pigmented hemorrhagic sarcoma|
E0033323|idiot-savant|idiot savant|
E0033325|idio-ventricular|idioventricular|
E0033332|idolise|idolize|
E0033353|ileac|ileal|
E0033357|ileo caecal|ileocecal|
E0033357|ileo cecal|ileocecal|
E0033357|ileo coecal|ileocecal|
E0033357|ileo-caecal|ileocecal|
E0033357|ileo-cecal|ileocecal|
E0033357|ileo-coecal|ileocecal|
E0033357|ileocaecal|ileocecal|
E0033357|ileocoecal|ileocecal|
E0033360|ileo-colic|ileocolic|
E0033368|ileo-rectal anastomosis|ileorectal anastomosis|
E0033373|ilial|iliac|
E0033384|ilio-femoral|iliofemoral|
E0033387|ilio-inguinal|ilioinguinal|
E0033518|immobilisation|immobilization|
E0033519|immobilise|immobilize|
E0033531|immortalisation|immortalization|
E0033532|immortalise|immortalize|
E0033541|immune-complex disease|immune complex disease|
E0033553|immune complex|immune-complex|
E0033558|immunisation|immunization|
E0033560|immunise|immunize|
E0033566|immuno assay|immunoassay|
E0033566|immuno-assay|immunoassay|
E0033567|immuno assay|immunoassay|
E0033567|immuno-assay|immunoassay|
E0033593|immuno-deficiency|immunodeficiency|
E0033605|immuno-electrophoresis|immunoelectrophoresis|
E0033631|immuno-histochemically|immunohistochemically|
E0033635|immuno-incompetent|immunoincompetent|
E0033656|immuno-positive|immunopositive|
E0033712|impassibility|impassability|
E0033713|impassible|impassable|
E0033762|impetiginisation|impetiginization|
E0033910|in as much as|inasmuch as|
E0034002|inclusion blennorrhoea|inclusion blennorrhea|
E0034014|income tax|income-tax|
E0034188|indirect haemagglutination|indirect hemagglutination|
E0034212|individualisation|individualization|
E0034213|individualise|individualize|
E0034264|industrialisation|industrialization|
E0034265|industrialise|industrialize|
E0034363|infectable|infectible|
E0034446|infero-lateral|inferolateral|
E0034448|infero-posterior|inferoposterior|
E0034456|infiltrating tumour|infiltrating tumor|
E0034485|inflexion|inflection|
E0034502|influenzavirus|influenza virus|
E0034527|infra-diaphragmatic|infradiaphragmatic|
E0034535|infra-mammary|inframammary|
E0034540|infra-orbital|infraorbital|
E0034548|infra-red|infrared|
E0034550|infra-renal|infrarenal|
E0034555|infra-structure|infrastructure|
E0034557|infra-temporal fossa|infratemporal fossa|
E0034558|infra-tentorial|infratentorial|
E0034564|infra-umbilical|infraumbilical|
E0034594|engrained|ingrained|
E0034660|initiater|initiator|
E0034688|inner-city|innercity|
E0034715|innoculation|inoculation|
E0034746|enquire|inquire|
E0034747|enquiry|inquiry|
E0034770|ensemination|insemination|
E0034833|instalment|installment|
E0034846|instill|instil|
E0034847|instillation|instilation|
E0034855|institutionalisation|institutionalization|
E0034856|institutionalise|institutionalize|
E0034885|insulogenic|insulinogenic|
E0034888|insulinopaenia|insulinopenia|
E0034892|insulin-dependent diabetes mellitus|insulin dependent diabetes mellitus|
E0034898|insulinlike|insulin-like|
E0034899|insulin-like growth factor 1|insulin-like growth factor I|
E0034899|insulinlike growth factor 1|insulin-like growth factor I|
E0034899|insulinlike growth factor I|insulin-like growth factor I|
E0034900|insulin-like growth factor 2|insulin-like growth factor II|
E0034900|insulin-like growth factor ii|insulin-like growth factor II|
E0034900|insulinlike growth factor 2|insulin-like growth factor II|
E0034900|insulinlike growth factor II|insulin-like growth factor II|
E0034902|insulin secretion|insulin-secretion|
E0034936|intellectualisation|intellectualization|
E0034937|intellectualise|intellectualize|
E0034975|inter-arytenoid|interarytenoid|
E0035032|inter-dialysis|interdialysis|
E0035056|interferon alpha|interferon-alpha|
E0035057|interferon gamma|interferon-gamma|
E0035108|intermediate hemorrhage|intermediary hemorrhage|
E0035142|internalisation|internalization|
E0035143|internalise|internalize|
E0035154|internal fertilisation|internal fertilization|
E0035176|internationalisation|internationalization|
E0035177|internationalise|internationalize|
E0035180|intern|interne|
E0035186|interneship|internship|
E0035303|interstitial cell stimulating hormone|interstitial-cell stimulating hormone|
E0035303|interstitial cell-stimulating hormone|interstitial-cell stimulating hormone|
E0035312|inter-tropical anaemia|intertropical anemia|
E0035312|inter-tropical anemia|intertropical anemia|
E0035312|intertropical anaemia|intertropical anemia|
E0035385|intra-abdominal|intrabdominal|
E0035385|intraabdominal|intrabdominal|
E0035393|intra-carotid|intracarotid|
E0035398|intra-cellular|intracellular|
E0035399|intra-cellularly|intracellularly|
E0035404|intracerebral haemorrhage|intracerebral hemorrhage|
E0035419|intra-cranial|intracranial|
E0035421|intracranial haemorrhage|intracranial hemorrhage|
E0035437|intra dural|intradural|
E0035437|intra-dural|intradural|
E0035441|intra-epithelial|intraepithelial|
E0035495|intra-muscular|intramuscular|
E0035496|intra-muscularly|intramuscularly|
E0035502|intra-neural|intraneural|
E0035508|intra-nuclear|intranuclear|
E0035511|intra-ocular|intraocular|
E0035513|intra-ocular pressure|intraocular pressure|
E0035514|intra-operative|intraoperative|
E0035515|intra-operatively|intraoperatively|
E0035516|intra-oral|intraoral|
E0035517|intra-orbital|intraorbital|
E0035552|intra-species|intraspecies|
E0035561|intratendinous supraanconeal bursa|intratendinous supra-anconeal bursa|
E0035566|intra-thoracic|intrathoracic|
E0035571|intra-tracheal|intratracheal|
E0035574|intratumour|intratumor|
E0035575|intra-tumoral|intratumoral|
E0035575|intra-tumoural|intratumoral|
E0035575|intratumoural|intratumoral|
E0035579|intra-uterine|intrauterine|
E0035586|intra-vascular|intravascular|
E0035589|intra-venous|intravenous|
E0035590|intra-venously|intravenously|
E0035591|intravenous anaesthesia|intravenous anesthesia|
E0035607|intraaortic|intra-aortic|
